Θユら戳,ユ澄る,Θユ丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
20200211,202002     ,101700,11662.0,11666.0,11662.0,11665.0,342
20200211,202002     ,101800,11664.0,11670.0,11664.0,11667.0,664
20200211,202002     ,101900,11668.0,11670.0,11668.0,11670.0,286
20200211,202002     ,102000,11670.0,11672.0,11669.0,11669.0,606
20200211,202002     ,102100,11669.0,11675.0,11669.0,11673.0,1448
20200211,202002     ,102200,11673.0,11675.0,11668.0,11671.0,822
20200211,202002     ,102300,11671.0,11671.0,11669.0,11669.0,154
20200211,202002     ,102400,11670.0,11673.0,11669.0,11670.0,340
20200211,202002     ,102500,11672.0,11675.0,11670.0,11671.0,778
20200211,202002     ,102600,11670.0,11672.0,11664.0,11664.0,970
20200211,202002     ,102700,11665.0,11666.0,11663.0,11663.0,308
20200211,202002     ,102800,11663.0,11664.0,11660.0,11661.0,628
20200211,202002     ,102900,11660.0,11664.0,11660.0,11663.0,276
20200211,202002     ,103005,11663.0,11665.0,11661.0,11663.0,306
20200211,202002     ,103101,11664.0,11665.0,11662.0,11664.0,370
20200211,202002     ,103200,11664.0,11667.0,11663.0,11667.0,448
20200211,202002     ,103300,11666.0,11667.0,11665.0,11667.0,162
20200211,202002     ,103400,11666.0,11671.0,11666.0,11670.0,710
20200211,202002     ,103500,11670.0,11672.0,11667.0,11668.0,606
20200211,202002     ,103600,11668.0,11673.0,11666.0,11670.0,672
20200211,202002     ,103701,11670.0,11673.0,11670.0,11672.0,320
20200211,202002     ,103801,11673.0,11674.0,11671.0,11674.0,374
20200211,202002     ,103900,11673.0,11676.0,11673.0,11676.0,942
20200211,202002     ,104000,11676.0,11677.0,11672.0,11675.0,612
20200211,202002     ,104100,11675.0,11677.0,11674.0,11677.0,410
20200211,202002     ,104200,11677.0,11683.0,11677.0,11682.0,1640
20200211,202002     ,104300,11683.0,11684.0,11680.0,11683.0,726
20200211,202002     ,104400,11683.0,11687.0,11682.0,11687.0,1058
20200211,202002     ,104500,11686.0,11688.0,11685.0,11686.0,726
20200211,202002     ,104600,11687.0,11689.0,11680.0,11684.0,1404
20200211,202002     ,104700,11683.0,11685.0,11682.0,11683.0,508
20200211,202002     ,104800,11683.0,11684.0,11682.0,11683.0,306
20200211,202002     ,104900,11683.0,11685.0,11681.0,11682.0,462
20200211,202002     ,105000,11681.0,11682.0,11679.0,11679.0,432
20200211,202002     ,105100,11679.0,11683.0,11679.0,11683.0,344
20200211,202002     ,105200,11683.0,11684.0,11679.0,11679.0,476
20200211,202002     ,105301,11679.0,11680.0,11678.0,11679.0,388
20200211,202002     ,105400,11679.0,11679.0,11677.0,11679.0,310
20200211,202002     ,105500,11679.0,11679.0,11676.0,11676.0,330
20200211,202002     ,105600,11676.0,11680.0,11675.0,11680.0,574
20200211,202002     ,105700,11679.0,11682.0,11679.0,11682.0,240
20200211,202002     ,105800,11681.0,11683.0,11680.0,11682.0,246
20200211,202002     ,105900,11682.0,11682.0,11680.0,11682.0,260
20200211,202002     ,110000,11680.0,11681.0,11676.0,11678.0,416
20200211,202002     ,110100,11678.0,11680.0,11675.0,11675.0,382
20200211,202002     ,110200,11675.0,11677.0,11673.0,11675.0,648
20200211,202002     ,110300,11676.0,11678.0,11675.0,11678.0,714
20200211,202002     ,110400,11678.0,11680.0,11677.0,11680.0,180
20200211,202002     ,110502,11680.0,11682.0,11680.0,11682.0,386
20200211,202002     ,110601,11681.0,11681.0,11678.0,11679.0,304
20200211,202002     ,110700,11677.0,11680.0,11677.0,11680.0,126
20200211,202002     ,110800,11679.0,11680.0,11678.0,11679.0,116
20200211,202002     ,110900,11679.0,11680.0,11677.0,11678.0,178
20200211,202002     ,111000,11677.0,11683.0,11677.0,11682.0,554
20200211,202002     ,111109,11682.0,11682.0,11679.0,11679.0,212
20200211,202002     ,111200,11679.0,11680.0,11679.0,11680.0,56
