Date,Open,High,Low,Close,K9,D9,NextClose,LSTM_pred,Prediction,Test,accuracy
2018/7/9,0.696696697,0.712406015,0.739880952,0.761230769,0.017062659,0,0.790769231,0.6756169,¶^,º¦,¿ù»~
2018/7/10,0.786786787,0.755012531,0.798214286,0.790769231,0.017062659,0,0.734153846,0.7155338,¶^,¶^,·Ç½T
2018/7/11,0.711711712,0.699874687,0.735119048,0.734153846,0.017062659,0,0.809846154,0.6632926,¶^,º¦,¿ù»~
2018/7/12,0.730930931,0.75877193,0.755952381,0.809846154,0.017062659,0,0.876307692,0.7094869,¶^,º¦,¿ù»~
2018/7/13,0.831831832,0.821428571,0.850595238,0.876307692,0.017062659,0,0.856,0.7748651,¶^,¶^,·Ç½T
2018/7/16,0.859459459,0.836466165,0.873809524,0.856,0.017062659,0,0.827076923,0.7783586,¶^,¶^,·Ç½T
2018/7/17,0.832432432,0.802005013,0.843452381,0.827076923,0.017062659,0,0.873846154,0.75215644,¶^,º¦,¿ù»~
2018/7/18,0.844444444,0.835213033,0.864285714,0.873846154,0.017062659,0,0.798153846,0.78091115,¶^,¶^,·Ç½T
2018/7/19,0.800600601,0.785087719,0.814880952,0.798153846,0.201984499,0.470237308,0.861538462,0.73295116,¶^,º¦,¿ù»~
2018/7/20,0.811411411,0.819548872,0.848809524,0.861538462,0.140343886,0.359041591,0.865230769,0.7713905,¶^,º¦,¿ù»~
2018/7/23,0.854654655,0.830200501,0.866071429,0.865230769,0.099250144,0.269727762,0.890461538,0.7816426,¶^,º¦,¿ù»~
2018/7/24,0.851651652,0.840225564,0.870833333,0.890461538,0.071854316,0.200062976,0.886769231,0.79277986,¶^,¶^,·Ç½T
2018/7/25,0.863063063,0.847744361,0.9,0.886769231,0.05359043,0.146871629,0.917538462,0.79955643,¶^,º¦,¿ù»~
2018/7/26,0.892492492,0.869047619,0.913095238,0.917538462,0.041414507,0.106911961,0.964923077,0.8193185,¶^,º¦,¿ù»~
2018/7/27,0.903903904,0.912280702,0.939880952,0.964923077,0.033297224,0.077273001,0.932923077,0.8498971,¶^,¶^,·Ç½T
2018/7/30,0.929129129,0.919799499,0.951190476,0.932923077,0.027885703,0.055514241,0.963076923,0.84487534,¶^,º¦,¿ù»~
2018/7/31,0.905705706,0.913533835,0.936904762,0.963076923,0.201948024,0.105321096,0.998769231,0.8500323,¶^,º¦,¿ù»~
2018/8/1,0.967567568,0.95112782,0.994642857,0.998769231,0.442479437,0.227397418,0.890461538,0.88946456,¶^,¶^,·Ç½T
2018/8/2,0.975975976,0.945488722,0.906547619,0.890461538,0.61008555,0.370708882,0.951384615,0.83382094,¶^,º¦,¿ù»~
2018/8/3,0.907507508,0.901002506,0.945833333,0.951384615,0.762961299,0.52273452,0.958769231,0.8489817,¶^,º¦,¿ù»~
2018/8/6,0.941141141,0.937969925,0.9625,0.958769231,0.823713849,0.64653185,0.950153846,0.8657729,¶^,¶^,·Ç½T
2018/8/7,0.938738739,0.917293233,0.95952381,0.950153846,0.899126042,0.756926764,1,0.8570826,¶^,º¦,¿ù»~
2018/8/8,0.947147147,0.959273183,0.986904762,1,0.963906598,0.854458549,0.980307692,0.89039963,¶^,¶^,·Ç½T
2018/8/9,0.965765766,0.939223058,0.970238095,0.980307692,0.929634116,0.906816713,0.944615385,0.8769115,¶^,¶^,·Ç½T
2018/8/10,0.929129129,0.929197995,0.960714286,0.944615385,0.966207201,0.95523521,0.820307692,0.8565029,¶^,¶^,·Ç½T
2018/8/13,0.892492492,0.860275689,0.805357143,0.820307692,1,1,0.859076923,0.7601103,¶^,º¦,¿ù»~
