日期,交割月份,時間,Answer,LSTM_Prediction,LSTM_Loss
20180709,201807,84900,0.7131652661064418,0.6498507,1.3220296741394657e-05
20180709,201807,85000,0.7131652661064418,0.65060294,1.3132266580970557e-05
20180709,201807,85100,0.712605042016806,0.6507282,1.3064653945337555e-05
20180709,201807,85200,0.712605042016806,0.6514535,1.1111389686604587e-05
20180709,201807,85300,0.7142857142857135,0.650388,1.2618807884601482e-05
20180709,201807,85400,0.7142857142857135,0.6504594,9.503754446763853e-06
20180709,201807,85500,0.712605042016806,0.65160394,9.798578678281224e-06
20180709,201807,85600,0.7120448179271701,0.65185523,8.552463995253273e-06
20180709,201807,85700,0.7120448179271701,0.65134025,1.0313152454681772e-05
20180709,201807,85800,0.708683473389355,0.650573,9.082765905493577e-06
20180709,201807,85900,0.7103641456582626,0.65022564,9.66420465569008e-06
20180709,201807,90000,0.704761904761904,0.64834046,9.57247982608872e-06
20180709,201807,90100,0.7030812324929965,0.6487851,8.292398766969323e-06
20180709,201807,90200,0.7042016806722682,0.64559066,8.929595163825225e-06
20180709,201807,90300,0.7058823529411757,0.6427878,1.0880623423706673e-05
20180709,201807,90400,0.7070028011204474,0.6424941,8.506313693523829e-06
20180709,201807,90500,0.7098039215686267,0.6443516,8.804387909054244e-06
20180709,201807,90600,0.7081232492997191,0.64585984,8.251154098945043e-06
20180709,201807,90700,0.7081232492997191,0.6475886,7.673873890704755e-06
20180709,201807,90800,0.7098039215686267,0.647779,8.088655940465692e-06
20180709,201807,90900,0.7120448179271701,0.64742076,7.977396273906215e-06
20180709,201807,91000,0.7204481792717079,0.6480093,7.90575960655376e-06
20180709,201807,91100,0.7204481792717079,0.64925015,1.0106649002089837e-05
20180709,201807,91200,0.7215686274509796,0.6536406,9.054233771952732e-06
20180709,201807,91300,0.7266106442577023,0.6574018,8.265053932876282e-06
20180709,201807,91400,0.7260504201680664,0.65770864,8.20991805587113e-06
20180709,201807,91500,0.719887955182072,0.66059494,8.31012148629901e-06
20180709,201807,91600,0.7114845938375343,0.66196585,7.547383379562676e-06
20180709,201807,91700,0.7070028011204474,0.6582782,7.585336964253195e-06
20180709,201807,91800,0.7064425770308116,0.6514702,7.723975511758509e-06
20180709,201807,91900,0.7114845938375343,0.6462399,7.581026745398901e-06
20180709,201807,92000,0.7114845938375343,0.6449691,7.921432797656321e-06
20180709,201807,92100,0.7120448179271701,0.6476544,7.265759705329582e-06
20180709,201807,92200,0.7114845938375343,0.64935756,7.734179522680945e-06
20180709,201807,92300,0.7053221288515399,0.64968395,7.63948786711537e-06
20180709,201807,92400,0.7002801120448172,0.6496099,7.099926876673405e-06
20180709,201807,92501,0.7014005602240889,0.6462662,7.679522469723822e-06
20180709,201807,92600,0.6997198879551814,0.6413717,8.182346851988585e-06
20180709,201807,92700,0.7058823529411757,0.6397356,8.040399584231247e-06
20180709,201807,92800,0.7058823529411757,0.6400255,8.258383915598767e-06
20180709,201807,92900,0.7053221288515399,0.64306116,7.123292469900395e-06
20180709,201807,93000,0.7092436974789909,0.6452693,7.080034051972956e-06
20180709,201807,93100,0.7154061624649852,0.64386725,7.637197750702728e-06
20180709,201807,93200,0.712605042016806,0.6465243,7.128503995594207e-06
20180709,201807,93300,0.7114845938375343,0.6509204,7.5428782686798995e-06
20180709,201807,93400,0.7142857142857135,0.6511347,6.831080698015381e-06
20180709,201807,93500,0.712605042016806,0.65008247,6.598581455317493e-06
20180709,201807,93600,0.7075630252100833,0.65175104,8.381090268268007e-06
20180709,201807,93701,0.7109243697478984,0.651513,7.067823135892553e-06
20180709,201807,93800,0.7142857142857135,0.64774764,7.244747534779955e-06
20180709,201807,93900,0.7131652661064418,0.64868593,6.653466278630744e-06
20180709,201807,94000,0.7131652661064418,0.6510594,6.873327987044825e-06
20180709,201807,94100,0.7137254901960777,0.6511147,6.817915478407622e-06
20180709,201807,94200,0.7159663865546211,0.6510172,6.58077619800119e-06
20180709,201807,94300,0.7215686274509796,0.65146494,7.0732336364935965e-06
20180709,201807,94400,0.7221288515406155,0.6528356,8.045138991538895e-06
20180709,201807,94500,0.723809523809523,0.65594566,6.159991411460216e-06
20180709,201807,94600,0.727731092436974,0.6588268,7.188303727424755e-06
20180709,201807,94700,0.7294117647058815,0.659565,6.7675063781599165e-06
20180709,201807,94800,0.7288515406162457,0.66166127,6.786071536877141e-06
20180709,201807,94900,0.727731092436974,0.66444707,6.589878634762129e-06
20180709,201807,95000,0.7249299719887947,0.6645117,7.030855601520356e-06
20180709,201807,95100,0.7260504201680664,0.6640998,7.266220659625289e-06
20180709,201807,95200,0.7266106442577023,0.6618726,7.313383578843553e-06
20180709,201807,95300,0.7322128851540608,0.6620456,6.570401147988647e-06
20180709,201807,95400,0.7294117647058815,0.6626098,7.190279518956504e-06
20180709,201807,95500,0.7305322128851532,0.6653795,6.6605658485256636e-06
20180709,201807,95600,0.727731092436974,0.6653559,
20180709,201807,95700,0.7294117647058815,0.66568375,
20180709,201807,95802,0.7310924369747891,0.6645825,
20180709,201807,95900,0.7294117647058815,0.6648103,
20180709,201807,100000,0.7310924369747891,0.666064,
20180709,201807,100100,0.7344537815126042,0.6656048,
20180709,201807,100200,0.7338935574229684,0.66565716,
20180709,201807,100300,0.7333333333333325,0.6680132,
20180709,201807,100400,0.7333333333333325,0.6687881,
20180709,201807,100500,0.7305322128851532,0.6682261,
20180709,201807,100602,0.731652661064425,0.6682812,
20180709,201807,100700,0.7322128851540608,0.6666392,
20180709,201807,100800,0.7338935574229684,0.666396,
