日期,交割月份,時間,Open,High,Low,Volume,Close,NextClose,Y_pred,Y_pred(tomorrow),
20180709,201807,84600,0.706442577,0.709152162,0.705816555,0.21898165,0.71092437,0.704761905,,"公式IF(J5>J4,""TRUE"",IF(J5=J4,""NO ACTION"",""FALSE""))",
20180709,201807,84700,0.711484594,0.709152162,0.710290828,0.091384129,0.709243697,0.71092437,,,
20180709,201807,84800,0.710364146,0.708029197,0.71196868,0.065013975,0.709803922,0.709243697,0.691368341,,
20180709,201807,84900,0.710364146,0.712521056,0.712527964,0.199052133,0.713165266,0.709803922,0.691534758,TRUE,FALSE
20180709,201807,85000,0.714285714,0.714205503,0.714205817,0.144732045,0.711484594,0.713165266,0.691860259,TRUE,TRUE
20180709,201807,85100,0.712605042,0.711398091,0.714205817,0.045205979,0.713165266,0.711484594,0.694751918,TRUE,NO ACTION
20180709,201807,85200,0.713165266,0.713082538,0.715883669,0.053104873,0.713165266,0.713165266,0.694777608,TRUE,FALSE
20180709,201807,85300,0.71372549,0.711398091,0.713087248,0.059667031,0.712605042,0.713165266,0.694782138,TRUE,NO ACTION
20180709,201807,85400,0.713165266,0.710836609,0.714205817,0.05456313,0.712605042,0.712605042,0.695600152,TRUE,TRUE
20180709,201807,85500,0.712605042,0.713082538,0.715324385,0.063191153,0.714285714,0.712605042,0.694304109,FALSE,NO ACTION
20180709,201807,85600,0.714285714,0.712521056,0.715883669,0.044841415,0.714285714,0.714285714,0.694408476,TRUE,FALSE
20180709,201807,85700,0.714285714,0.712521056,0.715883669,0.036456435,0.712605042,0.714285714,0.695979774,TRUE,FALSE
20180709,201807,85800,0.713165266,0.711398091,0.714765101,0.036577956,0.712044818,0.712605042,0.695997596,TRUE,NO ACTION
20180709,201807,85900,0.712044818,0.710836609,0.714205817,0.034633613,0.712044818,0.712044818,0.695220113,FALSE,FALSE
20180709,201807,90000,0.713165266,0.711959573,0.710850112,0.168428728,0.708683473,0.712044818,0.694404185,FALSE,TRUE
20180709,201807,90100,0.709803922,0.710836609,0.71196868,0.0872524,0.710364146,0.708683473,0.694109201,FALSE,FALSE
20180709,201807,90200,0.711484594,0.709152162,0.707494407,0.175841536,0.704761905,0.710364146,0.692136824,FALSE,FALSE
20180709,201807,90300,0.705322129,0.703537339,0.705257271,0.164661563,0.703081232,0.704761905,0.692806304,TRUE,TRUE
20180709,201807,90400,0.703081232,0.701852892,0.704138702,0.114351683,0.704201681,0.703081232,0.688822985,FALSE,TRUE
20180709,201807,90500,0.704201681,0.70634475,0.705816555,0.138048366,0.705882353,0.704201681,0.686059833,FALSE,TRUE
20180709,201807,90600,0.706442577,0.705783268,0.70917226,0.044841415,0.707002801,0.705882353,0.685837626,FALSE,TRUE
20180709,201807,90700,0.708123249,0.708590679,0.710290828,0.093693037,0.709803922,0.707002801,0.688136816,TRUE,FALSE
20180709,201807,90800,0.711484594,0.709152162,0.710850112,0.055535302,0.708123249,0.709803922,0.689271808,TRUE,NO ACTION
20180709,201807,90900,0.708683473,0.708029197,0.711409396,0.037064042,0.708123249,0.708123249,0.691578329,TRUE,TRUE
20180709,201807,91000,0.708683473,0.709713644,0.710850112,0.089925872,0.709803922,0.708123249,0.691123664,FALSE,TRUE
20180709,201807,91100,0.710364146,0.709713644,0.71196868,0.061975939,0.712044818,0.709803922,0.690898657,FALSE,TRUE
20180709,201807,91200,0.712605042,0.719258843,0.714205817,0.399805566,0.720448179,0.712044818,0.691991925,TRUE,NO ACTION
20180709,201807,91300,0.721008403,0.721504773,0.723713647,0.24583789,0.720448179,0.720448179,0.693298221,TRUE,TRUE
