Open,High,Low,Close,NextClose,LSTM_pred,predªº§PÂ_,¹ê»Úªº§PÂ_,·Ç½T/¿ù»~
0.187987988,0.288220551,0.394642857,0.322461538,0.268307692,0.30569306,¶^,¶^,·Ç½T
0.285885886,0.243107769,0.306547619,0.268307692,0.324307692,0.27540848,º¦,º¦,·Ç½T
0.277477477,0.283834586,0.314880952,0.324307692,0.337230769,0.30338204,¶^,º¦,¿ù»~
0.376576577,0.288220551,0.393452381,0.337230769,0.283076923,0.34682593,º¦,¶^,¿ù»~
0.3003003,0.280075188,0.320833333,0.283076923,0.296,0.29528937,º¦,º¦,·Ç½T
0.198198198,0.234962406,0.242857143,0.296,0.314461538,0.25009874,¶^,º¦,¿ù»~
0.234234234,0.271303258,0.251190476,0.314461538,0.187076923,0.2735902,¶^,¶^,·Ç½T
0.241441441,0.194235589,0.228571429,0.187076923,0.179076923,0.2105372,º¦,¶^,¿ù»~
0.198198198,0.157894737,0.169047619,0.179076923,0.038153846,0.17711629,¶^,¶^,·Ç½T
0,0.011278195,0.044642857,0.038153846,0,0.062372886,º¦,¶^,¿ù»~
0.074474474,0.021303258,0,0,0.030153846,0.061309647,º¦,º¦,·Ç½T
0.062462462,0,0.05297619,0.030153846,0.061538462,0.06440444,º¦,º¦,·Ç½T
0.025225225,0.01566416,0.073809524,0.061538462,0.184615385,0.07047025,º¦,º¦,·Ç½T
0.103303303,0.130952381,0.149404762,0.184615385,0.216615385,0.15104595,¶^,º¦,¿ù»~
0.183183183,0.171052632,0.210714286,0.216615385,0.268923077,0.19878462,¶^,º¦,¿ù»~
0.256456456,0.206140351,0.2625,0.268923077,0.232615385,0.25049362,¶^,¶^,·Ç½T
0.225825826,0.169172932,0.232142857,0.232615385,0.206769231,0.21688227,¶^,¶^,·Ç½T
0.24024024,0.194862155,0.23452381,0.206769231,0.249846154,0.21822396,º¦,º¦,·Ç½T
0.211411411,0.207393484,0.254166667,0.249846154,0.295384615,0.2342222,¶^,º¦,¿ù»~
0.327327327,0.277568922,0.32797619,0.295384615,0.207384615,0.30555364,º¦,¶^,¿ù»~
0.273273273,0.213659148,0.2375,0.207384615,0.175384615,0.2302005,º¦,¶^,¿ù»~
0.106306306,0.124686717,0.103571429,0.175384615,0.198153846,0.1375899,¶^,º¦,¿ù»~
0.196996997,0.148496241,0.221428571,0.198153846,0.233846154,0.19277067,¶^,º¦,¿ù»~
0.208408408,0.171679198,0.207738095,0.233846154,0.211692308,0.20867176,¶^,¶^,·Ç½T
0.263663664,0.213032581,0.2375,0.211692308,0.231384615,0.22955655,º¦,º¦,·Ç½T
0.207207207,0.175438596,0.251190476,0.231384615,0.176615385,0.21894273,¶^,¶^,·Ç½T
0.18978979,0.15726817,0.204166667,0.176615385,0.187692308,0.1827744,º¦,º¦,·Ç½T
0.134534535,0.123433584,0.157738095,0.187692308,0.178461538,0.15771334,¶^,¶^,·Ç½T
0.206006006,0.144110276,0.214880952,0.178461538,0.120615385,0.18577193,º¦,¶^,¿ù»~
0.175375375,0.121553885,0.163095238,0.120615385,0.211692308,0.14573185,º¦,º¦,·Ç½T
0.147147147,0.194862155,0.188690476,0.211692308,0.195076923,0.190968,¶^,¶^,·Ç½T
