日期,交割月份,時間,Open,High,Low,Volume,Close,NextClose,Y_pred,Y_pred(tomorrow),,
20180709,201807,92600,0.705882353,0.705221786,0.70246085,0.27682586,0.700280112,0.70140056,0.685781419,FALSE,TRUE,FALSE
20180709,201807,92700,0.700840336,0.700168445,0.69966443,0.219224693,0.70140056,0.699719888,0.682476938,FALSE,FALSE,TRUE
20180709,201807,92800,0.701960784,0.69904548,0.701901566,0.072305262,0.699719888,0.705882353,0.677484274,FALSE,TRUE,FALSE
20180709,201807,92900,0.700280112,0.704660303,0.703020134,0.118969498,0.705882353,0.705882353,0.675165236,FALSE,NOT ACTION,FALSE
20180709,201807,93000,0.705882353,0.707467715,0.708612975,0.160772876,0.705882353,0.705322129,0.675071895,FALSE,FALSE,TRUE
20180709,201807,93100,0.705882353,0.704098821,0.705257271,0.11155669,0.705322129,0.709243697,0.678362191,TRUE,TRUE,TRUE
20180709,201807,93200,0.705882353,0.707467715,0.708053691,0.077530684,0.709243697,0.715406162,0.681274772,TRUE,TRUE,TRUE
20180709,201807,93300,0.709803922,0.714766985,0.712527964,0.217887957,0.715406162,0.712605042,0.679490745,FALSE,FALSE,TRUE
20180709,201807,93400,0.715966387,0.713082538,0.714205817,0.081662413,0.712605042,0.711484594,0.682205617,TRUE,FALSE,FALSE
20180709,201807,93500,0.713165266,0.711398091,0.713646532,0.058330295,0.711484594,0.714285714,0.687603474,TRUE,TRUE,TRUE
20180709,201807,93600,0.713165266,0.713082538,0.715883669,0.071697655,0.714285714,0.712605042,0.687704325,TRUE,FALSE,FALSE
20180709,201807,93701,0.715406162,0.71364402,0.715324385,0.054927695,0.712605042,0.707563025,0.686363697,FALSE,FALSE,TRUE
20180709,201807,93800,0.713165266,0.711398091,0.70917226,0.098553895,0.707563025,0.71092437,0.688192666,TRUE,TRUE,TRUE
20180709,201807,93900,0.708123249,0.710836609,0.710850112,0.048973144,0.71092437,0.714285714,0.68801415,FALSE,TRUE,FALSE
20180709,201807,94000,0.712044818,0.711959573,0.713646532,0.037064042,0.714285714,0.713165266,0.684036613,FALSE,FALSE,TRUE
20180709,201807,94100,0.714845938,0.712521056,0.713646532,0.038765342,0.713165266,0.713165266,0.684566319,TRUE,NOT ACTION,FALSE
20180709,201807,94200,0.713165266,0.71364402,0.713646532,0.078745899,0.713165266,0.71372549,0.687206328,TRUE,TRUE,TRUE
20180709,201807,94300,0.71372549,0.711959573,0.715324385,0.021752339,0.71372549,0.715966387,0.687432587,TRUE,TRUE,TRUE
20180709,201807,94400,0.714285714,0.71364402,0.717002237,0.052132701,0.715966387,0.721568627,0.687428713,FALSE,TRUE,FALSE
20180709,201807,94500,0.715966387,0.72094329,0.718680089,0.284117147,0.721568627,0.722128852,0.687702417,TRUE,TRUE,TRUE
20180709,201807,94600,0.722689076,0.722066255,0.724272931,0.100255195,0.722128852,0.723809524,0.68930912,TRUE,TRUE,TRUE
20180709,201807,94700,0.7232493,0.722627737,0.724832215,0.13002795,0.723809524,0.727731092,0.693495095,TRUE,TRUE,TRUE
20180709,201807,94800,0.724369748,0.72824256,0.725950783,0.364321303,0.727731092,0.729411765,0.696361959,TRUE,TRUE,TRUE
20180709,201807,94900,0.728851541,0.727681078,0.731543624,0.124316442,0.729411765,0.728851541,0.697254956,TRUE,FALSE,FALSE
20180709,201807,95000,0.729971989,0.729365525,0.73098434,0.157491797,0.728851541,0.727731092,0.700282872,TRUE,FALSE,FALSE
20180709,201807,95100,0.729411765,0.72824256,0.73098434,0.084214364,0.727731092,0.724929972,0.702746153,TRUE,FALSE,FALSE
20180709,201807,95200,0.728291317,0.727119596,0.727628635,0.16526917,0.724929972,0.72605042,0.703011572,TRUE,TRUE,TRUE
20180709,201807,95300,0.72605042,0.724873666,0.728187919,0.046299672,0.72605042,0.726610644,0.702298462,FALSE,TRUE,FALSE
20180709,201807,95400,0.726610644,0.725996631,0.728747204,0.053590959,0.726610644,0.732212885,0.700157225,FALSE,TRUE,FALSE
20180709,201807,95500,0.727170868,0.732172937,0.729865772,0.241949204,0.732212885,0.729411765,0.699753344,FALSE,FALSE,TRUE
20180709,201807,95600,0.732212885,0.73048849,0.73098434,0.10232106,0.729411765,0.730532213,0.700421095,TRUE,TRUE,TRUE
20180709,201807,95700,0.730532213,0.73048849,0.731543624,0.092113258,0.730532213,0.727731092,0.704020441,TRUE,FALSE,FALSE
20180709,201807,95802,0.731092437,0.729365525,0.73098434,0.065500061,0.727731092,0.729411765,0.703813851,FALSE,TRUE,FALSE
20180709,201807,95900,0.728291317,0.729365525,0.73098434,0.067565925,0.729411765,0.731092437,0.70403254,TRUE,TRUE,TRUE
20180709,201807,100000,0.729971989,0.731049972,0.732662192,0.117389719,0.731092437,0.729411765,0.702833593,FALSE,FALSE,TRUE
20180709,201807,100100,0.732212885,0.73048849,0.731543624,0.06379876,0.729411765,0.731092437,0.702914774,TRUE,TRUE,TRUE
20180709,201807,100200,0.729971989,0.728804043,0.732102908,0.067687447,0.731092437,0.734453782,0.704522252,TRUE,TRUE,TRUE
20180709,201807,100300,0.731652661,0.733295901,0.734340045,0.159193098,0.734453782,0.733893557,0.703947484,FALSE,FALSE,TRUE
20180709,201807,100400,0.735014006,0.733295901,0.735458613,0.054806173,0.733893557,0.733333333,0.703857839,FALSE,FALSE,TRUE
20180709,201807,100500,0.733893557,0.732734419,0.734899329,0.061854417,0.733333333,0.733333333,0.706795871,TRUE,NOT ACTION,FALSE
20180709,201807,100602,0.733893557,0.732172937,0.735458613,0.046299672,0.733333333,0.730532213,0.707427323,TRUE,FALSE,FALSE
20180709,201807,100700,0.733893557,0.731049972,0.733221477,0.057479645,0.730532213,0.731652661,0.706801593,FALSE,TRUE,FALSE
20180709,201807,100800,0.731092437,0.729927007,0.732662192,0.043383157,0.731652661,0.732212885,0.706804097,TRUE,TRUE,TRUE
20180709,201807,100903,0.732773109,0.731611454,0.734340045,0.041681857,0.732212885,0.733893557,0.705111504,FALSE,TRUE,FALSE
20180709,201807,101000,0.732773109,0.732172937,0.734899329,0.051282051,0.733893557,0.736134454,0.704614997,FALSE,TRUE,FALSE
20180709,201807,101100,0.735014006,0.734980348,0.736577181,0.14011423,0.736134454,0.736134454,0.705865383,TRUE,NOT ACTION,FALSE
20180709,201807,101200,0.737254902,0.734980348,0.737695749,0.068416576,0.736134454,0.73557423,0.706665933,TRUE,FALSE,FALSE
20180709,201807,101301,0.736694678,0.734418866,0.737136465,0.054806173,0.73557423,0.732212885,0.708807886,TRUE,FALSE,FALSE
20180709,201807,101400,0.736694678,0.734418866,0.734899329,0.062583546,0.732212885,0.731092437,0.709437311,TRUE,FALSE,FALSE
20180709,201807,101500,0.733333333,0.732172937,0.733780761,0.068902661,0.731092437,0.731652661,0.708901286,FALSE,TRUE,FALSE
20180709,201807,101600,0.731652661,0.73048849,0.734340045,0.033661441,0.731652661,0.731092437,0.707295179,FALSE,FALSE,TRUE
20180709,201807,101700,0.732212885,0.73048849,0.733780761,0.037671649,0.731092437,0.732212885,0.705598056,FALSE,TRUE,FALSE
20180709,201807,101801,0.732212885,0.729927007,0.734899329,0.026491676,0.732212885,0.733893557,0.705241799,FALSE,TRUE,FALSE
20180709,201807,101904,0.732773109,0.731611454,0.734340045,0.040345121,0.733893557,0.735014006,0.705019772,FALSE,TRUE,FALSE
20180709,201807,102001,0.734453782,0.733295901,0.736577181,0.049580751,0.735014006,0.729971989,0.705512881,TRUE,FALSE,FALSE
