日期,交割月份,時間,Open,High,Low,Volume,Close,NextClose,Y_pred,"pred(True:漲,False:跌)","Ans(True:漲,False:跌)","accurace(True:準確,False:不准)"
20180709,201807,92700,0.700840336,0.700168445,0.69966443,0.219224693,0.70140056,0.700280112,0.688946486,FALSE,FALSE,TRUE
20180709,201807,92800,0.701960784,0.69904548,0.701901566,0.072305262,0.699719888,0.70140056,0.683860898,FALSE,TRUE,FALSE
20180709,201807,92900,0.700280112,0.704660303,0.703020134,0.118969498,0.705882353,0.699719888,0.681833386,FALSE,FALSE,TRUE
20180709,201807,93000,0.705882353,0.707467715,0.708612975,0.160772876,0.705882353,0.705882353,0.681667686,FALSE,FALSE,TRUE
20180709,201807,93100,0.705882353,0.704098821,0.705257271,0.11155669,0.705322129,0.705882353,0.685347795,TRUE,TRUE,TRUE
20180709,201807,93200,0.705882353,0.707467715,0.708053691,0.077530684,0.709243697,0.705322129,0.687970281,TRUE,TRUE,TRUE
20180709,201807,93300,0.709803922,0.714766985,0.712527964,0.217887957,0.715406162,0.709243697,0.686192274,FALSE,FALSE,TRUE
20180709,201807,93400,0.715966387,0.713082538,0.714205817,0.081662413,0.712605042,0.715406162,0.689126253,TRUE,FALSE,FALSE
20180709,201807,93500,0.713165266,0.711398091,0.713646532,0.058330295,0.711484594,0.712605042,0.694632649,TRUE,TRUE,TRUE
20180709,201807,93600,0.713165266,0.713082538,0.715883669,0.071697655,0.714285714,0.711484594,0.694371462,FALSE,FALSE,TRUE
20180709,201807,93701,0.715406162,0.71364402,0.715324385,0.054927695,0.712605042,0.714285714,0.693090081,FALSE,FALSE,TRUE
20180709,201807,93800,0.713165266,0.711398091,0.70917226,0.098553895,0.707563025,0.712605042,0.695046663,TRUE,TRUE,TRUE
20180709,201807,93900,0.708123249,0.710836609,0.710850112,0.048973144,0.71092437,0.707563025,0.694712639,FALSE,TRUE,FALSE
20180709,201807,94000,0.712044818,0.711959573,0.713646532,0.037064042,0.714285714,0.71092437,0.690588593,FALSE,FALSE,TRUE
